Tumor_Sample_Barcode,0,1,2,3
TCGA-CN-A6V3,1.56183934139,16.0559211676,3.85150479869,7.50262521045
TCGA-BA-A6D8,16.4045013817,6.30634954013,1e-15,7.62978189922
TCGA-CV-A461,1e-15,20.3778851363,10.9436764674,1e-15
TCGA-CV-5440,1e-15,1.80032873162,5.26497562106,23.7439311292
TCGA-BB-4227,0.0369199332802,11.6256559537,10.8425772461,3.20678566878
TCGA-CN-A6V1,1e-15,1e-15,28.9386359766,1e-15
TCGA-BB-A5HZ,1e-15,6.13743046541,4.50903280156,17.052863759
TCGA-UF-A7J9,3.38383653356,0.503272450756,21.3591972634,2.66828721978
TCGA-CQ-A4CG,8.41601559426,1e-15,9.98618661948,13.5935391343
TCGA-IQ-7630,1.44956304691,15.3236026597,4.43202735842,6.81096119724
TCGA-CN-6988,1e-15,14.6606853458,3.42499902218,10.7433682298
TCGA-CV-7261,0.19371627641,1e-15,12.5242749534,17.718104409
TCGA-CV-6952,1.52837810048,1.30729220503,21.7548032308,2.72271042798
TCGA-CV-7248,1e-15,17.6567875528,10.7227599799,0.242806690592
TCGA-CN-6989,20.5506770444,1e-15,4.55883156072,5.65021300878
TCGA-F7-A50I,22.0290030805,1e-15,1e-15,7.11325662895
TCGA-CV-7446,2.85188395738,5.21029084352,4.15585420295,15.5799173089
TCGA-HD-A633,2.93211111658,5.67516114553,1e-15,21.9181190772
TCGA-CN-6011,17.6107747944,9.97305316257,1e-15,1e-15
TCGA-D6-6516,1.78398722465,17.15406817,1e-15,10.407416379
TCGA-CV-A6JN,0.155204877332,8.7511532833,5.10867988213,13.6273901059
TCGA-CQ-6219,10.0280011832,1e-15,7.51617231865,16.3036463935
TCGA-CV-6939,0.191288442952,1e-15,7.14557216552,21.2495942421
TCGA-CQ-A4CE,5.5826658273,3.05369425058,1e-15,19.2334377113
TCGA-CV-7406,1e-15,1.40637448091,22.1211301263,3.97304136838
TCGA-BB-8601,6.44578690826,5.02476873546,5.00560133396,11.280230576
TCGA-F7-A50G,2.75211743163,7.91983588448,7.64139886937,9.50634672373
TCGA-CV-6941,1e-15,15.7606904796,3.20597223291,8.05151028397
TCGA-CN-5364,0.493232331596,6.58262402248,11.6328298099,8.65264749203
TCGA-CR-7402,1e-15,20.2698423147,2.52162457563,6.19925789616
TCGA-CV-5441,13.2601047077,13.402299949,1.67574079639,1e-15
TCGA-BB-A5HU,2.56030952871,17.2938718574,1.20137321442,7.78719944868
TCGA-CV-A45X,1e-15,4.81925210139,6.62446045129,15.7629800571
TCGA-CR-7399,0.936215213812,6.73772495195,19.4701311639,0.398250231066
TCGA-D6-6823,1e-15,0.376485980537,6.84762710294,23.2322558083
TCGA-D6-A6EQ,1e-15,3.52117714683,2.18761342081,18.2933659394
TCGA-CN-6020,1e-15,2.88783893914,11.2224383777,14.3363267636
TCGA-BB-4223,3.16855371415,7.0950231217,18.0648808628,1e-15
TCGA-CQ-6218,3.59474413314,1e-15,17.4387368004,8.48324329374
TCGA-CN-4726,2.31207543166,4.76264290214,1.82269482627,18.2852898554
TCGA-CN-5361,1e-15,7.09001600337,1.51612683609,22.1125839005
TCGA-CQ-A4C9,0.129731079127,12.7077024946,4.19095054202,12.4312417903
TCGA-CN-5369,17.6700269221,12.1881646726,1e-15,1e-15
TCGA-QK-A6II,20.5987980514,8.16858299213,0.830843225482,1e-15
TCGA-HD-8314,1.15105088968,1e-15,7.51067514484,18.8667146446
TCGA-CN-5358,0.504680710131,2.79066165107,8.73703871157,15.4435614826
TCGA-CV-7438,1e-15,8.57638857091,13.1742881613,8.50606977037
TCGA-CV-7421,1e-15,1e-15,4.52714856029,23.0041306379
TCGA-CN-4740,1.67957550612,7.40538852452,6.16671165392,12.1384606868
TCGA-CN-4735,1e-15,3.75545866251,0.0916591744834,23.5741072835
TCGA-CN-5356,2.44880889749,19.4183873212,6.24619003833,1e-15
TCGA-CV-6955,18.4018442745,1e-15,11.3289954122,1.25932533699
TCGA-CV-7178,1.4428009217,4.53955879456,5.94544216505,16.5999159919
TCGA-CV-A6JU,5.74611830574,8.38232760728,0.626177348768,13.837655849
