,TCGA-A5-A0G5,TCGA-A5-A0G9,TCGA-A5-A0GA,TCGA-A5-A0GB,TCGA-A5-A0GH,TCGA-A5-A0GI,TCGA-A5-A0GJ,TCGA-A5-A0GN,TCGA-A5-A0GP,TCGA-A5-A0GQ,TCGA-A5-A0GV,TCGA-A5-A0GW,TCGA-A5-A0R8,TCGA-A5-A0R9,TCGA-A5-A0RA,TCGA-A5-A0VO,TCGA-A5-A0VP,TCGA-A5-A0VQ,TCGA-AJ-A23M,TCGA-AP-A051,TCGA-AP-A052,TCGA-AP-A053,TCGA-AP-A054,TCGA-AP-A056,TCGA-AP-A059,TCGA-AP-A05A,TCGA-AP-A05H,TCGA-AP-A05J,TCGA-AP-A05N,TCGA-AP-A0L8,TCGA-AP-A0L9,TCGA-AP-A0LD,TCGA-AP-A0LE,TCGA-AP-A0LF,TCGA-AP-A0LG,TCGA-AP-A0LH,TCGA-AP-A0LI,TCGA-AP-A0LM,TCGA-AP-A0LN,TCGA-AP-A0LP,TCGA-AP-A0LQ,TCGA-AP-A0LT,TCGA-AX-A05S,TCGA-AX-A05T,TCGA-AX-A05U,TCGA-AX-A05W,TCGA-AX-A05Y,TCGA-AX-A05Z,TCGA-AX-A060,TCGA-AX-A063,TCGA-AX-A064,TCGA-AX-A06H,TCGA-AX-A0IU,TCGA-AX-A0J0,TCGA-AX-A0J1,TCGA-AX-A1C8,TCGA-AX-A2HF,TCGA-B5-A0JR,TCGA-B5-A0JT,TCGA-B5-A0JV,TCGA-B5-A0JY,TCGA-B5-A0JZ,TCGA-B5-A0K1,TCGA-B5-A0K2,TCGA-B5-A0K6,TCGA-B5-A0K9,TCGA-B5-A11E,TCGA-B5-A11F,TCGA-B5-A11G,TCGA-B5-A11H,TCGA-B5-A11J,TCGA-B5-A11N,TCGA-B5-A11O,TCGA-B5-A11R,TCGA-B5-A11U,TCGA-B5-A11V,TCGA-B5-A11W,TCGA-B5-A11X,TCGA-B5-A11Y,TCGA-B5-A11Z,TCGA-B5-A121,TCGA-BG-A0LX,TCGA-BG-A0M0,TCGA-BG-A0M3,TCGA-BG-A0M4,TCGA-BG-A0M6,TCGA-BG-A0M7,TCGA-BG-A0M8,TCGA-BG-A0M9,TCGA-BG-A0MC,TCGA-BG-A0MG,TCGA-BG-A0MO,TCGA-BG-A0MQ,TCGA-BG-A0MU,TCGA-BG-A0RY,TCGA-BG-A0VW,TCGA-BG-A0VX,TCGA-BG-A0VZ,TCGA-BG-A0W1,TCGA-BG-A0YV,TCGA-BG-A187,TCGA-BG-A18A,TCGA-BG-A18B,TCGA-BG-A2AE,TCGA-BK-A0C9,TCGA-BK-A0CB,TCGA-BK-A0CC,TCGA-BK-A139,TCGA-BS-A0T9,TCGA-BS-A0TA,TCGA-BS-A0TC,TCGA-BS-A0TE,TCGA-BS-A0TI,TCGA-BS-A0TJ,TCGA-BS-A0U7,TCGA-BS-A0U8,TCGA-BS-A0UA,TCGA-BS-A0UF,TCGA-BS-A0UJ,TCGA-BS-A0UL,TCGA-BS-A0UM,TCGA-BS-A0UT,TCGA-BS-A0UV,TCGA-BS-A0V7,TCGA-BS-A0V8,TCGA-BS-A0WQ,TCGA-D1-A0ZN,TCGA-D1-A0ZO,TCGA-D1-A0ZQ,TCGA-D1-A0ZR,TCGA-D1-A0ZS,TCGA-D1-A0ZU,TCGA-D1-A101,TCGA-D1-A102,TCGA-D1-A103,TCGA-D1-A15V,TCGA-D1-A15W,TCGA-D1-A15X,TCGA-D1-A15Z,TCGA-D1-A160,TCGA-D1-A161,TCGA-D1-A163,TCGA-D1-A165,TCGA-D1-A167,TCGA-D1-A168,TCGA-D1-A169,TCGA-D1-A16D,TCGA-D1-A16F,TCGA-D1-A16J,TCGA-D1-A16N,TCGA-D1-A16R,TCGA-D1-A16X,TCGA-D1-A16Y,TCGA-D1-A174,TCGA-D1-A176,TCGA-D1-A177,TCGA-D1-A17A,TCGA-D1-A17B,TCGA-D1-A17C,TCGA-D1-A17D,TCGA-D1-A17F,TCGA-D1-A17H,TCGA-D1-A17M,TCGA-D1-A17Q,TCGA-D1-A17R,TCGA-D1-A17S,TCGA-D1-A17T,TCGA-D1-A17U,TCGA-D1-A1NU,TCGA-DI-A0WH,TCGA-DI-A1NN,TCGA-E6-A1LZ,TCGA-EO-A1Y5,TCGA-EO-A1Y8,TCGA-EY-A1GS,TCGA-EY-A212,TCGA-FI-A2EW,TCGA-FI-A2F8
TCGA-A5-A0G5,1.0,0.169230769231,0.138461538462,0.015873015873,0.34328358209,0.227272727273,0.642857142857,0.0961538461538,0.0,0.15873015873,0.25,0.619047619048,0.106382978723,0.0,0.0735294117647,0.0714285714286,0.015873015873,0.0793650793651,0.460317460317,0.030303030303,0.0,0.0,0.0,0.0666666666667,0.0724637681159,0.297297297297,0.934426229508,0.166666666667,0.0483870967742,0.181818181818,0.169230769231,0.015873015873,0.0416666666667,0.193548387097,0.545454545455,0.37037037037,0.813953488372,0.0491803278689,0.0571428571429,0.0869565217391,0.0,0.0161290322581,0.131147540984,0.0,1.0,0.0,0.327868852459,0.0281690140845,0.0151515151515,0.0,0.047619047619,0.508196721311,0.232558139535,0.0327868852459,0.030303030303,0.2,0.2,0.0322580645161,0.166666666667,0.0483870967742,0.05,0.34375,0.222222222222,0.731343283582,0.0819672131148,0.775862068966,0.0655737704918,0.105263157895,0.0,0.0634920634921,0.130434782609,0.0,0.0754716981132,0.0,0.301587301587,0.0526315789474,0.0,0.0508474576271,0.0645161290323,0.25,0.181818181818,0.0454545454545,0.0862068965517,0.0,0.0,0.0,0.428571428571,0.130434782609,0.128205128205,0.0,0.109375,0.12,0.0327868852459,0.0,0.0666666666667,0.28125,0.140845070423,0.03125,0.0634920634921,0.8,0.129032258065,0.0714285714286,0.161764705882,0.0615384615385,0.0689655172414,0.0,0.571428571429,0.406779661017,0.803278688525,0.031746031746,0.0,0.772727272727,0.703125,0.0151515151515,0.0434782608696,0.0151515151515,0.328125,0.0645161290323,0.0,0.0441176470588,0.0166666666667,0.125,0.0666666666667,0.2,0.132352941176,0.2,0.05,0.0149253731343,0.078125,0.625,0.685185185185,0.0,0.733333333333,0.111111111111,0.0615384615385,0.1,0.0816326530612,0.0677966101695,0.108695652174,0.016393442623,0.338983050847,0.338461538462,0.285714285714,0.0847457627119,0.53125,0.764705882353,0.0444444444444,0.0422535211268,0.308823529412,0.089552238806,0.037037037037,0.0,0.0,0.031746031746,0.149253731343,0.476923076923,0.0491803278689,0.655172413793,0.0566037735849,0.423728813559,0.125,0.107692307692,0.174603174603,0.0952380952381,0.0819672131148,0.384615384615,0.615384615385,0.0333333333333,0.123076923077,0.661290322581,0.153846153846,0.876923076923,0.0,0.25,0.666666666667,0.0526315789474,0.114754098361,0.222222222222
TCGA-A5-A0G9,0.169230769231,1.0,0.484375,0.453125,0.307692307692,0.380952380952,0.11320754717,0.309090909091,0.271428571429,0.41935483871,0.333333333333,0.232142857143,0.468085106383,0.368421052632,0.521126760563,0.485714285714,0.272727272727,0.522388059701,0.292307692308,0.0746268656716,0.666666666667,0.333333333333,0.241935483871,0.0625,0.107692307692,0.275,0.112903225806,0.166666666667,0.564516129032,0.25,0.396825396825,0.373134328358,0.36231884058,0.306451612903,0.292307692308,0.258064516129,0.0652173913043,0.0967741935484,0.41935483871,0.521739130435,0.3125,0.387096774194,0.360655737705,0.0,0.375,0.333333333333,0.377049180328,0.0571428571429,0.34328358209,0.323529411765,0.459016393443,0.315789473684,0.333333333333,0.1,0.089552238806,0.321428571429,0.333333333333,0.366666666667,0.222222222222,0.507692307692,0.0645161290323,0.316666666667,0.666666666667,0.1875,0.587301587302,0.196428571429,0.0508474576271,0.277777777778,0.227272727273,0.298507462687,0.550724637681,0.186440677966,0.509090909091,0.349206349206,0.292307692308,0.470588235294,0.5625,0.45,0.274193548387,0.25,0.133333333333,0.396825396825,0.525423728814,0.266666666667,0.281690140845,0.5,0.5,0.585365853659,0.475,0.363636363636,0.47619047619,0.391304347826,0.491803278689,0.375,0.368421052632,0.338709677419,0.426470588235,0.564516129032,0.459016393443,0.180327868852,0.321428571429,0.486486486486,0.367647058824,0.52380952381,0.440677966102,0.368421052632,0.5,0.305084745763,0.131147540984,0.483870967742,0.276923076923,0.181818181818,0.171875,0.420289855072,0.486111111111,0.46875,0.384615384615,0.0634920634921,0.271186440678,0.348484848485,0.370967741935,0.341463414634,0.0833333333333,0.333333333333,0.363636363636,0.5,0.409090909091,0.432835820896,0.383333333333,0.111111111111,0.206896551724,0.375,0.16393442623,0.461538461538,0.0757575757576,0.444444444444,0.490909090909,0.233333333333,0.448979591837,0.467741935484,0.403225806452,0.276923076923,0.25,0.296875,0.30303030303,0.28125,0.446808510638,0.438356164384,0.296875,0.384615384615,0.4,0.225806451613,0.206349206349,0.31746031746,0.348484848485,0.262295081967,0.5,0.214285714286,0.518518518519,0.258064516129,0.483870967742,0.359375,0.365079365079,0.0793650793651,0.534482758621,0.307692307692,0.296296296296,0.55,0.461538461538,0.145161290323,0.333333333333,0.147058823529,0.25,0.142857142857,0.216666666667,0.388888888889,0.344262295082,0.272727272727
TCGA-A5-A0GA,0.138461538462,0.484375,1.0,0.370967741935,0.373134328358,0.641791044776,0.125,0.236363636364,0.109589041096,0.5625,0.25,0.383333333333,0.608695652174,0.615384615385,0.628571428571,0.628571428571,0.153846153846,0.776119402985,0.290322580645,0.0,0.5,0.75,0.015625,0.0,0.0149253731343,0.214285714286,0.169230769231,0.2,0.65,0.3,0.417910447761,0.382352941176,0.414285714286,0.265625,0.369230769231,0.333333333333,0.227272727273,0.016393442623,0.46875,0.625,0.625,0.4,0.212121212121,0.833333333333,0.142857142857,1.0,0.524590163934,0.0,0.308823529412,0.184615384615,0.65625,0.327868852459,0.297872340426,0.0,0.0,0.28813559322,0.4,0.234375,0.375,0.734375,0.0,0.428571428571,0.428571428571,0.28125,0.730158730159,0.161290322581,0.0169491525424,0.52380952381,0.215384615385,0.323076923077,0.485714285714,0.0333333333333,0.68,0.358208955224,0.434782608696,0.625,0.533333333333,0.661290322581,0.222222222222,0.6,0.416666666667,0.567164179104,0.672131147541,0.5625,0.256756756757,0.0,0.166666666667,0.521739130435,0.558139534884,0.65,0.56338028169,0.607142857143,0.491803278689,0.5,0.3125,0.31746031746,0.529411764706,0.539682539683,0.681818181818,0.193548387097,0.48275862069,0.5,0.685714285714,0.621212121212,0.539682539683,0.631578947368,0.166666666667,0.387096774194,0.206349206349,0.602941176471,0.121212121212,0.235294117647,0.212121212121,0.4,0.657534246575,0.615384615385,0.529411764706,0.0,0.118644067797,0.550724637681,0.555555555556,0.425531914894,0.0153846153846,0.8,0.402985074627,0.75,0.454545454545,0.442857142857,0.483870967742,0.25,0.25,0.75,0.224137931034,0.56,0.0,0.5,0.622641509434,0.169491525424,0.5625,0.606557377049,0.432835820896,0.34375,0.142857142857,0.0645161290323,0.405797101449,0.222222222222,0.6,0.567567567568,0.411764705882,0.318181818182,0.538461538462,0.0769230769231,0.0294117647059,0.272727272727,0.522388059701,0.114754098361,0.666666666667,0.241379310345,0.561403508772,0.44262295082,0.692307692308,0.4,0.573770491803,0.0,0.612903225806,0.417910447761,0.259259259259,0.692307692308,0.426470588235,0.184615384615,0.421052631579,0.134328358209,0.666666666667,0.428571428571,0.380952380952,0.352941176471,0.349206349206,0.3
TCGA-A5-A0GB,0.015873015873,0.453125,0.370967741935,1.0,0.475409836066,0.242424242424,0.0,0.0204081632653,0.753846153846,0.0862068965517,0.0,0.127272727273,0.0888888888889,0.0,0.174603174603,0.117647058824,0.789473684211,0.2,0.0,0.0,0.0,0.0,0.559322033898,0.0,0.0,0.027027027027,0.0169491525424,0.0,0.220338983051,0.0,0.129032258065,0.921875,0.833333333333,0.0491803278689,0.25,0.0,0.0,0.0,0.129032258065,0.242424242424,0.0,0.949152542373,0.8,0.0,0.0,0.0,0.0526315789474,0.0,0.870967741935,0.854838709677,0.457627118644,0.40350877193,0.0,0.0,0.015873015873,0.0,0.0,0.825396825397,0.0,0.266666666667,0.0,0.383333333333,0.0,0.129032258065,0.262295081967,0.178571428571,0.0,0.0588235294118,0.766666666667,0.8125,0.462686567164,0.55,0.22,0.885245901639,0.55737704918,0.0980392156863,0.142857142857,0.19298245614,0.762711864407,0.0,0.0,0.573770491803,0.142857142857,0.0714285714286,0.897058823529,0.0,0.0,0.075,0.0857142857143,0.1,0.112903225806,0.08,0.827586206897,0.0,0.0,0.666666666667,0.125,0.53125,0.189655172414,0.0169491525424,0.0357142857143,0.0975609756098,0.41935483871,0.253968253968,0.688524590164,0.047619047619,0.0,0.0701754385965,0.0,0.620689655172,0.779661016949,0.078125,0.0,0.939393939394,0.276923076923,0.5,0.307692307692,0.0,0.716666666667,0.68253968254,0.6,0.025,0.0,0.0,0.0327868852459,0.25,0.0833333333333,0.887096774194,0.0677966101695,0.0,0.254545454545,0.2,0.0727272727273,0.24,0.0,0.047619047619,0.177777777778,0.709090909091,0.0666666666667,0.55,0.0166666666667,0.564516129032,0.0,0.7,0.1,0.0,0.0731707317073,0.705882352941,0.0983606557377,0.016393442623,0.115384615385,0.672131147541,0.633333333333,0.852459016393,0.530303030303,0.413793103448,0.271186440678,0.0877192982456,0.0816326530612,0.345454545455,0.203389830508,0.883333333333,0.532258064516,0.0,0.196428571429,0.015873015873,0.0208333333333,0.366666666667,0.0847457627119,0.189655172414,0.027027027027,0.0,0.0,0.0,0.122807017544,0.0588235294118,0.0333333333333,0.0
TCGA-A5-A0GH,0.34328358209,0.307692307692,0.373134328358,0.475409836066,1.0,0.378787878788,0.172413793103,0.0350877192982,0.338028169014,0.209677419355,0.25,0.587301587302,0.21568627451,0.153846153846,0.171428571429,0.176470588235,0.446153846154,0.28125,0.0625,0.0,0.0,0.25,0.138461538462,0.0,0.0,0.0769230769231,0.370967741935,0.0,0.274193548387,0.0,0.169230769231,0.454545454545,0.521739130435,0.140625,0.55223880597,0.25,0.355555555556,0.0,0.121212121212,0.191780821918,0.2,0.507936507937,0.582089552239,0.166666666667,0.0,0.0,0.327868852459,0.0,0.391304347826,0.382352941176,0.359375,0.534482758621,0.0444444444444,0.0,0.0,0.0666666666667,0.0,0.492063492063,0.25,0.274193548387,0.0,0.7,0.125,0.46875,0.262295081967,0.551724137931,0.0,0.142857142857,0.287878787879,0.603174603175,0.558823529412,0.209677419355,0.169811320755,0.492307692308,0.666666666667,0.103448275862,0.133333333333,0.15,0.460317460317,0.0,0.181818181818,0.530303030303,0.15,0.2,0.479452054795,0.0,0.0909090909091,0.0652173913043,0.15,0.0869565217391,0.227272727273,0.2,0.559322033898,0.333333333333,0.0588235294118,0.571428571429,0.121212121212,0.349206349206,0.212121212121,0.380952380952,0.148148148148,0.121951219512,0.469696969697,0.238095238095,0.586206896552,0.263157894737,0.166666666667,0.262295081967,0.365079365079,0.388059701493,0.352941176471,0.348484848485,0.28125,0.522388059701,0.171428571429,0.402985074627,0.707692307692,0.0,0.290322580645,0.5,0.40625,0.111111111111,0.0,0.0,0.044776119403,0.333333333333,0.130434782609,0.528571428571,0.137931034483,0.555555555556,0.642857142857,0.0,0.508771929825,0.0740740740741,0.0,0.0731707317073,0.12,0.508771929825,0.122448979592,0.5,0.112903225806,0.646153846154,0.166666666667,0.44262295082,0.390625,0.258064516129,0.136363636364,0.581081081081,0.188405797101,0.0615384615385,0.0357142857143,0.27868852459,0.323076923077,0.530303030303,0.636363636364,0.625,0.1875,0.540983606557,0.160714285714,0.819672131148,0.246153846154,0.608695652174,0.609375,0.0,0.193548387097,0.153846153846,0.2,0.338709677419,0.0441176470588,0.6,0.0,0.268656716418,0.0,0.0625,0.296875,0.047619047619,0.0483870967742,0.0
TCGA-A5-A0GI,0.227272727273,0.380952380952,0.641791044776,0.242424242424,0.378787878788,1.0,0.0943396226415,0.285714285714,0.0434782608696,0.634920634921,0.6,0.349206349206,0.584905660377,0.75,0.647887323944,0.671428571429,0.125,0.671875,0.237288135593,0.0,0.5,0.666666666667,0.0,0.0,0.0597014925373,0.357142857143,0.180327868852,0.142857142857,0.661290322581,0.4,0.53125,0.230769230769,0.376811594203,0.301587301587,0.359375,0.433333333333,0.239130434783,0.0322580645161,0.605263157895,0.608695652174,0.625,0.245901639344,0.140625,0.875,0.125,0.75,0.451612903226,0.0,0.257575757576,0.109375,0.612903225806,0.275862068966,0.272727272727,0.0,0.0,0.379310344828,0.6,0.151515151515,0.444444444444,0.725806451613,0.0,0.415384615385,0.571428571429,0.307692307692,0.655737704918,0.254237288136,0.0322580645161,0.666666666667,0.138461538462,0.253731343284,0.385714285714,0.0,0.634615384615,0.268656716418,0.328358208955,0.614035087719,0.666666666667,0.676923076923,0.15625,0.8,0.666666666667,0.539682539683,0.666666666667,0.6,0.236111111111,0.0,0.25,0.555555555556,0.641025641026,0.625,0.588235294118,0.615384615385,0.372881355932,0.777777777778,0.352941176471,0.253968253968,0.584615384615,0.461538461538,0.71875,0.261538461538,0.545454545455,0.65,0.621212121212,0.611940298507,0.475409836066,0.761904761905,0.333333333333,0.4,0.261538461538,0.428571428571,0.0606060606061,0.323529411765,0.203125,0.304347826087,0.579710144928,0.523076923077,0.544117647059,0.0,0.0645161290323,0.420289855072,0.421875,0.571428571429,0.0327868852459,0.666666666667,0.424242424242,0.875,0.565217391304,0.34328358209,0.516129032258,0.444444444444,0.350877192982,0.666666666667,0.236363636364,0.72,0.0,0.564102564103,0.612244897959,0.135593220339,0.591836734694,0.5,0.476923076923,0.338461538462,0.666666666667,0.0322580645161,0.544117647059,0.294117647059,0.608695652174,0.388888888889,0.537313432836,0.40625,0.5,0.0153846153846,0.0153846153846,0.19696969697,0.434782608696,0.190476190476,0.612903225806,0.4,0.603773584906,0.403225806452,0.666666666667,0.333333333333,0.55,0.0,0.6,0.432835820896,0.411764705882,0.634920634921,0.455882352941,0.241935483871,0.324324324324,0.184615384615,0.666666666667,0.357142857143,0.306451612903,0.294117647059,0.354838709677,0.375
TCGA-A5-A0GJ,0.642857142857,0.11320754717,0.125,0.0,0.172413793103,0.0943396226415,1.0,0.063829787234,0.0526315789474,0.122807017544,0.333333333333,0.490566037736,0.121951219512,0.0,0.0344827586207,0.0344827586207,0.0555555555556,0.0545454545455,0.557692307692,0.298245614035,0.25,0.0,0.115384615385,0.307692307692,0.310344827586,0.388888888889,0.692307692308,0.285714285714,0.0,0.125,0.148148148148,0.0185185185185,0.0333333333333,0.272727272727,0.385964912281,0.48,0.641025641026,0.24,0.0,0.0666666666667,0.0,0.02,0.0769230769231,0.0,0.5,0.2,0.259259259259,0.266666666667,0.0338983050847,0.051724137931,0.0175438596491,0.245283018868,0.3,0.245283018868,0.271186440678,0.207547169811,0.6,0.0555555555556,0.333333333333,0.0192307692308,0.32,0.169811320755,0.2,0.526315789474,0.0392156862745,0.425531914894,0.296296296296,0.166666666667,0.0535714285714,0.0181818181818,0.0526315789474,0.132075471698,0.0,0.0,0.152542372881,0.0227272727273,0.0,0.0,0.06,0.0,0.111111111111,0.0,0.0566037735849,0.0,0.0307692307692,0.0,0.545454545455,0.162162162162,0.0294117647059,0.0,0.0909090909091,0.04,0.0,0.0,0.0625,0.157894736842,0.172413793103,0.0,0.0363636363636,0.509803921569,0.047619047619,0.0,0.145454545455,0.0192307692308,0.0204081632653,0.0,0.571428571429,0.288461538462,0.607843137255,0.0178571428571,0.0566037735849,0.5,0.654545454545,0.0188679245283,0.0166666666667,0.0169491525424,0.142857142857,0.309090909091,0.0181818181818,0.0,0.0,0.0857142857143,0.316666666667,0.166666666667,0.175438596491,0.0,0.0,0.0,0.122448979592,0.111111111111,0.384615384615,0.2,0.509803921569,0.0,0.333333333333,0.075,0.0,0.0754716981132,0.0909090909091,0.0178571428571,0.277777777778,0.12962962963,0.0,0.0925925925926,0.4,0.586206896552,0.0731707317073,0.0,0.224137931034,0.116666666667,0.0434782608696,0.0185185185185,0.0892857142857,0.0714285714286,0.0350877192982,0.259259259259,0.0,0.36,0.0,0.204081632653,0.0754716981132,0.0185185185185,0.0980392156863,0.309090909091,0.0384615384615,0.40350877193,0.477272727273,0.0,0.166666666667,0.351851851852,0.176470588235,0.690909090909,0.0,0.384615384615,0.508771929825,0.0,0.150943396226,0.25
TCGA-A5-A0GN,0.0961538461538,0.309090909091,0.236363636364,0.0204081632653,0.0350877192982,0.285714285714,0.063829787234,1.0,0.0,0.527272727273,0.5,0.125,0.547619047619,0.642857142857,0.573770491803,0.563636363636,0.0,0.438596491228,0.471698113208,0.48275862069,0.8,1.0,0.0877192982456,0.5,0.51724137931,0.636363636364,0.0,0.8,0.509803921569,0.625,0.518518518519,0.101694915254,0.0357142857143,0.703703703704,0.0909090909091,0.466666666667,0.05,0.519230769231,0.64,0.606557377049,0.5625,0.0384615384615,0.0377358490566,0.285714285714,0.0,0.75,0.320754716981,0.328125,0.118644067797,0.0178571428571,0.303571428571,0.0,0.75,0.392857142857,0.305084745763,0.7,0.4,0.0,0.714285714286,0.436363636364,0.482142857143,0.125,0.6,0.0357142857143,0.48,0.0,0.490196078431,0.533333333333,0.0344827586207,0.0192307692308,0.15,0.0377358490566,0.547619047619,0.0181818181818,0.0740740740741,0.595744680851,0.636363636364,0.450980392157,0.0,0.0,0.7,0.214285714286,0.632653061224,0.461538461538,0.015625,1.0,0.444444444444,0.611111111111,0.625,0.666666666667,0.543859649123,0.695652173913,0.06,1.0,0.8,0.0,0.563636363636,0.333333333333,0.444444444444,0.0740740740741,0.761904761905,0.65625,0.135593220339,0.6,0.217391304348,0.4,0.5,0.346153846154,0.0943396226415,0.296296296296,0.0,0.140350877193,0.2,0.0178571428571,0.587301587302,0.322033898305,0.172413793103,0.452830188679,0.0196078431373,0.140350877193,0.258620689655,0.714285714286,0.471698113208,0.6,0.696428571429,0.5,0.533333333333,0.0689655172414,0.627450980392,0.142857142857,0.0,0.5,0.0,0.571428571429,0.470588235294,0.692307692308,0.590909090909,0.0,0.609756097561,0.264150943396,0.480769230769,0.0181818181818,0.25,0.0,0.214285714286,0.148148148148,0.65625,0.114754098361,0.568965517241,0.836363636364,0.708333333333,0.0,0.0,0.0181818181818,0.051724137931,0.0,0.519230769231,0.0384615384615,0.553191489362,0.0192307692308,0.456140350877,0.0175438596491,0.153846153846,0.462962962963,0.5,0.418181818182,0.304347826087,0.36,0.706896551724,0.0,0.735294117647,0.0983606557377,0.5,0.461538461538,0.192307692308,0.8125,0.763636363636,0.666666666667
TCGA-A5-A0GP,0.0,0.271428571429,0.109589041096,0.753846153846,0.338028169014,0.0434782608696,0.0526315789474,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013698630137,0.0,0.9,0.0416666666667,0.0,0.0,0.0,0.0,0.742424242424,0.0285714285714,0.0,0.0,0.0,0.0,0.030303030303,0.0,0.0,0.760563380282,0.653333333333,0.0,0.12676056338,0.0,0.0,0.0,0.0,0.0526315789474,0.0,0.724637681159,0.710144927536,0.0,0.0,0.0,0.0149253731343,0.189189189189,0.763888888889,0.929577464789,0.208955223881,0.276923076923,0.0,0.0909090909091,0.185714285714,0.0,0.0,0.852941176471,0.0,0.0735294117647,0.0,0.238805970149,0.0,0.0704225352113,0.0298507462687,0.15625,0.0,0.0,0.840579710145,0.704225352113,0.302631578947,0.8,0.0508474576271,0.742857142857,0.4,0.0,0.0,0.031746031746,0.746268656716,0.0,0.0,0.315068493151,0.0307692307692,0.0,0.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615384615385,0.0,0.0,0.606060606061,0.0,0.367647058824,0.0144927536232,0.0,0.0,0.0,0.225352112676,0.0428571428571,0.439393939394,0.0,0.0,0.0,0.0,0.352112676056,0.973333333333,0.0140845070423,0.0,0.675675675676,0.0263157894737,0.3,0.12676056338,0.0428571428571,0.969230769231,0.506849315068,0.454545454545,0.0,0.0,0.0,0.0,0.0,0.0434782608696,0.647887323944,0.0,0.0,0.216666666667,0.0,0.0967741935484,0.0,0.0294117647059,0.0,0.0327868852459,0.806451612903,0.0,0.298507462687,0.0,0.4,0.0,0.820895522388,0.0,0.0,0.0,0.481012658228,0.0,0.0,0.0,0.941176470588,0.931506849315,0.771428571429,0.333333333333,0.432835820896,0.0857142857143,0.0666666666667,0.0322580645161,0.223880597015,0.0298507462687,0.652173913043,0.34328358209,0.0281690140845,0.0151515151515,0.0,0.0,0.149253731343,0.0,0.235294117647,0.0,0.0,0.0,0.0,0.0151515151515,0.0,0.0,0.0
TCGA-A5-A0GQ,0.15873015873,0.41935483871,0.5625,0.0862068965517,0.209677419355,0.634920634921,0.122807017544,0.527272727273,0.0,1.0,0.4,0.35,0.878048780488,0.875,0.796875,0.846153846154,0.0,0.793650793651,0.338983050847,0.142857142857,0.75,1.0,0.0,0.1,0.230769230769,0.583333333333,0.1,0.4,0.767857142857,0.8,0.671875,0.123076923077,0.174603174603,0.491803278689,0.258064516129,0.5625,0.2,0.137931034483,0.758620689655,0.724637681159,1.0,0.0833333333333,0.0327868852459,1.0,0.166666666667,1.0,0.672131147541,0.0149253731343,0.134328358209,0.0,0.508474576271,0.172413793103,0.511627906977,0.0645161290323,0.0,0.55,0.75,0.0,0.5,0.698412698413,0.125,0.229508196721,0.833333333333,0.140625,0.783333333333,0.0892857142857,0.203389830508,0.8,0.0,0.05,0.384615384615,0.0,0.791666666667,0.0806451612903,0.230769230769,0.803921568627,0.846153846154,0.793103448276,0.0169491525424,1.0,0.923076923077,0.428571428571,0.796610169492,0.866666666667,0.0277777777778,1.0,0.666666666667,0.744186046512,0.756756756757,0.857142857143,0.859375,0.777777777778,0.206896551724,1.0,0.5625,0.046875,0.6875,0.435483870968,0.725806451613,0.225806451613,0.869565217391,0.809523809524,0.537313432836,0.709677419355,0.344827586207,0.842105263158,0.6,0.583333333333,0.271186440678,0.483333333333,0.0,0.203125,0.268656716418,0.126984126984,0.705882352941,0.515625,0.454545454545,0.101694915254,0.0,0.328125,0.366666666667,0.74358974359,0.142857142857,1.0,0.712121212121,1.0,0.727272727273,0.2,0.789473684211,0.222222222222,0.120689655172,1.0,0.0961538461538,0.777777777778,0.126984126984,0.818181818182,0.78431372549,0.0,0.755102040816,0.459016393443,0.688524590164,0.138461538462,0.555555555556,0.0,0.484375,0.272727272727,0.860465116279,0.3,0.671875,0.65625,0.892857142857,0.0,0.0,0.015873015873,0.31746031746,0.051724137931,0.603174603175,0.214285714286,0.781818181818,0.271186440678,0.677966101695,0.109375,0.383333333333,0.111111111111,0.779661016949,0.545454545455,0.34,0.576271186441,0.688524590164,0.0983606557377,0.736842105263,0.123076923077,1.0,0.428571428571,0.311475409836,0.421052631579,0.58064516129,0.545454545455
