,TCGA-A5-A0G5,TCGA-A5-A0G9,TCGA-A5-A0GA,TCGA-A5-A0GB,TCGA-A5-A0GH,TCGA-A5-A0GI,TCGA-A5-A0GJ,TCGA-A5-A0GN,TCGA-A5-A0GP,TCGA-A5-A0GQ,TCGA-A5-A0GV,TCGA-A5-A0GW,TCGA-A5-A0R8,TCGA-A5-A0R9,TCGA-A5-A0RA,TCGA-A5-A0VO,TCGA-A5-A0VP,TCGA-A5-A0VQ,TCGA-AJ-A23M,TCGA-AP-A051,TCGA-AP-A052,TCGA-AP-A053,TCGA-AP-A054,TCGA-AP-A056,TCGA-AP-A059,TCGA-AP-A05A,TCGA-AP-A05H,TCGA-AP-A05J,TCGA-AP-A05N,TCGA-AP-A0L8,TCGA-AP-A0L9,TCGA-AP-A0LD,TCGA-AP-A0LE,TCGA-AP-A0LF,TCGA-AP-A0LG,TCGA-AP-A0LH,TCGA-AP-A0LI,TCGA-AP-A0LM,TCGA-AP-A0LN,TCGA-AP-A0LP,TCGA-AP-A0LQ,TCGA-AP-A0LT,TCGA-AX-A05S,TCGA-AX-A05T,TCGA-AX-A05U,TCGA-AX-A05W,TCGA-AX-A05Y,TCGA-AX-A05Z,TCGA-AX-A060,TCGA-AX-A063,TCGA-AX-A064,TCGA-AX-A06H,TCGA-AX-A0IU,TCGA-AX-A0J0,TCGA-AX-A0J1,TCGA-AX-A1C8,TCGA-AX-A2HF,TCGA-B5-A0JR,TCGA-B5-A0JT,TCGA-B5-A0JV,TCGA-B5-A0JY,TCGA-B5-A0JZ,TCGA-B5-A0K1,TCGA-B5-A0K2,TCGA-B5-A0K6,TCGA-B5-A0K9,TCGA-B5-A11E,TCGA-B5-A11F,TCGA-B5-A11G,TCGA-B5-A11H,TCGA-B5-A11J,TCGA-B5-A11N,TCGA-B5-A11O,TCGA-B5-A11R,TCGA-B5-A11U,TCGA-B5-A11V,TCGA-B5-A11W,TCGA-B5-A11X,TCGA-B5-A11Y,TCGA-B5-A11Z,TCGA-B5-A121,TCGA-BG-A0LX,TCGA-BG-A0M0,TCGA-BG-A0M3,TCGA-BG-A0M4,TCGA-BG-A0M6,TCGA-BG-A0M7,TCGA-BG-A0M8,TCGA-BG-A0M9,TCGA-BG-A0MC,TCGA-BG-A0MG,TCGA-BG-A0MO,TCGA-BG-A0MQ,TCGA-BG-A0MU,TCGA-BG-A0RY,TCGA-BG-A0VW,TCGA-BG-A0VX,TCGA-BG-A0VZ,TCGA-BG-A0W1,TCGA-BG-A0YV,TCGA-BG-A187,TCGA-BG-A18A,TCGA-BG-A18B,TCGA-BG-A2AE,TCGA-BK-A0C9,TCGA-BK-A0CB,TCGA-BK-A0CC,TCGA-BK-A139,TCGA-BS-A0T9,TCGA-BS-A0TA,TCGA-BS-A0TC,TCGA-BS-A0TE,TCGA-BS-A0TI,TCGA-BS-A0TJ,TCGA-BS-A0U7,TCGA-BS-A0U8,TCGA-BS-A0UA,TCGA-BS-A0UF,TCGA-BS-A0UJ,TCGA-BS-A0UL,TCGA-BS-A0UM,TCGA-BS-A0UT,TCGA-BS-A0UV,TCGA-BS-A0V7,TCGA-BS-A0V8,TCGA-BS-A0WQ,TCGA-D1-A0ZN,TCGA-D1-A0ZO,TCGA-D1-A0ZQ,TCGA-D1-A0ZR,TCGA-D1-A0ZS,TCGA-D1-A0ZU,TCGA-D1-A101,TCGA-D1-A102,TCGA-D1-A103,TCGA-D1-A15V,TCGA-D1-A15W,TCGA-D1-A15X,TCGA-D1-A15Z,TCGA-D1-A160,TCGA-D1-A161,TCGA-D1-A163,TCGA-D1-A165,TCGA-D1-A167,TCGA-D1-A168,TCGA-D1-A169,TCGA-D1-A16D,TCGA-D1-A16F,TCGA-D1-A16J,TCGA-D1-A16N,TCGA-D1-A16R,TCGA-D1-A16X,TCGA-D1-A16Y,TCGA-D1-A174,TCGA-D1-A176,TCGA-D1-A177,TCGA-D1-A17A,TCGA-D1-A17B,TCGA-D1-A17C,TCGA-D1-A17D,TCGA-D1-A17F,TCGA-D1-A17H,TCGA-D1-A17M,TCGA-D1-A17Q,TCGA-D1-A17R,TCGA-D1-A17S,TCGA-D1-A17T,TCGA-D1-A17U,TCGA-D1-A1NU,TCGA-DI-A0WH,TCGA-DI-A1NN,TCGA-E6-A1LZ,TCGA-EO-A1Y5,TCGA-EO-A1Y8,TCGA-EY-A1GS,TCGA-EY-A212,TCGA-FI-A2EW,TCGA-FI-A2F8
TCGA-A5-A0G5,1.0,0.322580645161,0.281690140845,0.0416666666667,0.391304347826,0.304347826087,0.590163934426,0.0526315789474,0.0289855072464,0.16393442623,0.333333333333,0.710144927536,0.133333333333,0.166666666667,0.0625,0.1875,0.0307692307692,0.115942028986,0.444444444444,0.0597014925373,0.125,0.0,0.0138888888889,0.0769230769231,0.089552238806,0.239130434783,0.888888888889,0.2,0.0491803278689,0.0,0.260869565217,0.0416666666667,0.0757575757576,0.237288135593,0.541666666667,0.71875,0.894736842105,0.125,0.129032258065,0.0597014925373,0.0,0.0151515151515,0.126984126984,0.285714285714,1.0,0.0,0.393939393939,0.027397260274,0.0166666666667,0.0172413793103,0.027397260274,0.492307692308,0.243243243243,0.0416666666667,0.027397260274,0.214285714286,0.0,0.0655737704918,0.555555555556,0.03125,0.0322580645161,0.344262295082,0.25,0.796610169492,0.101449275362,0.657142857143,0.047619047619,0.266666666667,0.0,0.102941176471,0.242424242424,0.0,0.0535714285714,0.03125,0.344262295082,0.102040816327,0.0,0.047619047619,0.0428571428571,0.2,0.166666666667,0.0845070422535,0.117647058824,0.0588235294118,0.031746031746,0.0,0.545454545455,0.206896551724,0.046511627907,0.111111111111,0.202898550725,0.0,0.0746268656716,0.0,0.15,0.193548387097,0.222222222222,0.0416666666667,0.0634920634921,0.777777777778,0.0909090909091,0.0196078431373,0.229508196721,0.030303030303,0.078125,0.222222222222,0.666666666667,0.579710144928,0.8125,0.112676056338,0.0,0.855072463768,0.671875,0.0869565217391,0.0952380952381,0.0704225352113,0.357142857143,0.0579710144928,0.0144927536232,0.119402985075,0.03125,0.111111111111,0.0555555555556,0.1,0.161764705882,0.0,0.0666666666667,0.0422535211268,0.190476190476,1.0,0.610169491525,0.166666666667,0.619718309859,0.0555555555556,0.0405405405405,0.132075471698,0.0491803278689,0.0434782608696,0.176470588235,0.134328358209,0.363636363636,0.283333333333,0.666666666667,0.114285714286,0.478260869565,0.709677419355,0.136363636364,0.101449275362,0.289855072464,0.0724637681159,0.0,0.03125,0.0307692307692,0.0806451612903,0.147058823529,0.453125,0.0281690140845,0.6,0.0847457627119,0.363636363636,0.159420289855,0.142857142857,0.183098591549,0.0666666666667,0.16393442623,0.457627118644,0.587301587302,0.132352941176,0.220588235294,0.612903225806,0.106382978723,0.830985915493,0.125,0.230769230769,0.691176470588,0.0416666666667,0.0909090909091,0.166666666667
TCGA-A5-A0G9,0.322580645161,1.0,0.709677419355,0.349206349206,0.393442622951,0.542372881356,0.132075471698,0.239130434783,0.118644067797,0.519230769231,0.25,0.360655737705,0.595744680851,0.473684210526,0.509090909091,0.678571428571,0.169491525424,0.672413793103,0.347826086957,0.0172413793103,0.571428571429,0.333333333333,0.0806451612903,0.0178571428571,0.0655737704918,0.368421052632,0.216666666667,0.333333333333,0.589285714286,0.714285714286,0.379310344828,0.31746031746,0.406779661017,0.339622641509,0.459016393443,0.32,0.242424242424,0.0555555555556,0.413793103448,0.578947368421,0.5,0.333333333333,0.345454545455,1.0,0.333333333333,0.4,0.578947368421,0.030303030303,0.283018867925,0.224489795918,0.5,0.372881355932,0.323529411765,0.015873015873,0.0307692307692,0.393442622951,0.666666666667,0.19298245614,0.375,0.5,0.0350877192982,0.527272727273,0.6,0.34,0.620689655172,0.263157894737,0.0535714285714,0.533333333333,0.15,0.275862068966,0.431034482759,0.051724137931,0.577777777778,0.272727272727,0.363636363636,0.5,0.5,0.59649122807,0.266666666667,0.333333333333,0.2,0.590163934426,0.457627118644,0.625,0.218181818182,0.0,0.409090909091,0.510638297872,0.475,0.625,0.555555555556,0.411764705882,0.375,0.666666666667,0.368421052632,0.301886792453,0.451612903226,0.545454545455,0.547169811321,0.26,0.4,0.468085106383,0.527272727273,0.372881355932,0.480769230769,0.666666666667,0.0,0.431034482759,0.305084745763,0.68253968254,0.173076923077,0.372881355932,0.310344827586,0.406779661017,0.696428571429,0.560606060606,0.516666666667,0.0175438596491,0.155172413793,0.4,0.462962962963,0.292682926829,0.03125,0.25,0.396551724138,0.5,0.266666666667,0.393442622951,0.566037735849,1.0,0.346153846154,0.8,0.306451612903,0.432432432432,0.03125,0.511627906977,0.537037037037,0.15,0.604651162791,0.589285714286,0.508771929825,0.403846153846,0.666666666667,0.180327868852,0.372881355932,0.37037037037,0.384615384615,0.45,0.375,0.366666666667,0.458333333333,0.101694915254,0.0909090909091,0.277777777778,0.483333333333,0.232142857143,0.55737704918,0.444444444444,0.627450980392,0.467741935484,0.546875,0.322033898305,0.465517241379,0.0192307692308,0.584905660377,0.428571428571,0.254545454545,0.637931034483,0.349206349206,0.277777777778,0.357142857143,0.25,0.5,0.3,0.45,0.3,0.383333333333,0.333333333333
TCGA-A5-A0GA,0.281690140845,0.709677419355,1.0,0.402985074627,0.442857142857,0.666666666667,0.1,0.206896551724,0.231884057971,0.569230769231,1.0,0.357142857143,0.620689655172,0.473684210526,0.514705882353,0.609375,0.261538461538,0.686567164179,0.267857142857,0.0149253731343,0.333333333333,0.333333333333,0.0704225352113,0.0,0.0147058823529,0.302325581395,0.174603174603,0.0,0.615384615385,0.625,0.313432835821,0.388888888889,0.477611940299,0.225806451613,0.514705882353,0.387096774194,0.238095238095,0.030303030303,0.575757575758,0.569230769231,0.384615384615,0.352941176471,0.338461538462,0.666666666667,0.333333333333,0.571428571429,0.560606060606,0.0,0.285714285714,0.272727272727,0.534246575342,0.376811594203,0.238095238095,0.0,0.0,0.31884057971,1.0,0.283333333333,0.444444444444,0.59375,0.0149253731343,0.553846153846,0.6,0.305084745763,0.623188405797,0.294117647059,0.0,0.588235294118,0.176470588235,0.333333333333,0.602941176471,0.030303030303,0.701754385965,0.338709677419,0.467741935484,0.509803921569,0.736842105263,0.571428571429,0.308823529412,0.6,1.0,0.676056338028,0.428571428571,0.823529411765,0.279411764706,0.0,0.181818181818,0.472727272727,0.558139534884,0.6875,0.594202898551,0.263157894737,0.484848484848,0.8,0.35,0.35593220339,0.471428571429,0.602739726027,0.569230769231,0.262295081967,0.435897435897,0.528301886792,0.72131147541,0.358208955224,0.539682539683,0.789473684211,0.0,0.393939393939,0.28125,0.710526315789,0.142857142857,0.308823529412,0.287878787879,0.432835820896,0.65625,0.625,0.647887323944,0.0,0.157142857143,0.477611940299,0.492307692308,0.266666666667,0.0,0.555555555556,0.257575757576,0.666666666667,0.2,0.514285714286,0.540983606557,0.0,0.440677966102,0.6,0.430555555556,0.333333333333,0.0,0.38,0.6,0.208955223881,0.557692307692,0.676470588235,0.44776119403,0.484848484848,0.666666666667,0.188405797101,0.492753623188,0.225806451613,0.422222222222,0.573529411765,0.333333333333,0.253731343284,0.28,0.0746268656716,0.132352941176,0.322580645161,0.647058823529,0.272727272727,0.573529411765,0.507246376812,0.606557377049,0.485294117647,0.628571428571,0.432835820896,0.550724637681,0.0166666666667,0.58064516129,0.35,0.354838709677,0.757575757576,0.314285714286,0.265625,0.326530612245,0.25,0.5,0.0714285714286,0.382352941176,0.32,0.287878787879,0.0
TCGA-A5-A0GB,0.0416666666667,0.349206349206,0.402985074627,1.0,0.557142857143,0.188405797101,0.0,0.0566037735849,0.710144927536,0.166666666667,0.0,0.161764705882,0.109090909091,0.0952380952381,0.206349206349,0.114754098361,0.753846153846,0.308823529412,0.0,0.0,0.0,0.0,0.493150684932,0.0,0.0,0.0,0.047619047619,0.0,0.265625,0.125,0.046875,0.901408450704,0.768115942029,0.0161290322581,0.225352112676,0.0,0.0,0.0,0.0666666666667,0.301587301587,0.230769230769,0.911764705882,0.730158730159,0.0,0.0,0.1,0.140625,0.0,0.915254237288,0.781818181818,0.486111111111,0.4375,0.0285714285714,0.0,0.013698630137,0.0144927536232,0.0,0.741935483871,0.0,0.25,0.0,0.484375,0.0,0.19298245614,0.264705882353,0.294117647059,0.0,0.0,0.626865671642,0.712121212121,0.515625,0.439393939394,0.352941176471,0.936507936508,0.5,0.14,0.25,0.234375,0.823529411765,0.0,0.2,0.521739130435,0.147058823529,0.266666666667,0.809523809524,0.0,0.0,0.0727272727273,0.186046511628,0.333333333333,0.130434782609,0.190476190476,0.772727272727,0.0,0.0,0.730158730159,0.109589041096,0.534246575342,0.193548387097,0.0,0.075,0.173076923077,0.4,0.246153846154,0.603174603175,0.222222222222,0.0,0.044776119403,0.0149253731343,0.478873239437,0.629032258065,0.0769230769231,0.0149253731343,0.867647058824,0.276923076923,0.493150684932,0.393939393939,0.0,0.641791044776,0.65671641791,0.540983606557,0.0204081632653,0.0,0.111111111111,0.0294117647059,0.333333333333,0.133333333333,0.865671641791,0.0847457627119,0.0,0.322033898305,0.166666666667,0.287878787879,0.102564102564,0.0,0.06,0.2,0.69696969697,0.142857142857,0.492537313433,0.0147058823529,0.589285714286,0.0,0.594202898551,0.0857142857143,0.0294117647059,0.0681818181818,0.724637681159,0.0615384615385,0.0588235294118,0.0740740740741,0.584615384615,0.619047619048,0.852459016393,0.529411764706,0.545454545455,0.304347826087,0.257142857143,0.2,0.44776119403,0.231884057971,0.811594202899,0.588235294118,0.0,0.169491525424,0.0677966101695,0.0153846153846,0.369230769231,0.0281690140845,0.311475409836,0.0217391304348,0.0441176470588,0.125,0.0,0.0757575757576,0.0869565217391,0.0597014925373,0.0
TCGA-A5-A0GH,0.391304347826,0.393442622951,0.442857142857,0.557142857143,1.0,0.298507462687,0.189655172414,0.037037037037,0.478260869565,0.172413793103,0.5,0.450704225352,0.210526315789,0.105263157895,0.0461538461538,0.15873015873,0.558823529412,0.228571428571,0.0740740740741,0.0,0.0,0.0,0.239436619718,0.0,0.0,0.173913043478,0.348484848485,0.0,0.171875,0.125,0.119402985075,0.473684210526,0.558823529412,0.0847457627119,0.485714285714,0.25,0.341463414634,0.0,0.0967741935484,0.202898550725,0.0769230769231,0.514705882353,0.677419354839,0.142857142857,0.0,0.0,0.238095238095,0.0,0.393442622951,0.448275862069,0.297297297297,0.681818181818,0.0232558139535,0.0,0.0,0.111111111111,0.0,0.55223880597,0.0,0.193548387097,0.0,0.584615384615,0.0,0.576271186441,0.2,0.676056338028,0.0,0.176470588235,0.348484848485,0.651515151515,0.462686567164,0.169230769231,0.185185185185,0.524590163934,0.730158730159,0.14,0.222222222222,0.184615384615,0.560606060606,0.333333333333,0.2,0.479452054795,0.0684931506849,0.277777777778,0.539682539683,0.0,0.130434782609,0.122807017544,0.0512820512821,0.25,0.191780821918,0.0454545454545,0.567164179104,0.0,0.0454545454545,0.666666666667,0.169014084507,0.297297297297,0.142857142857,0.238095238095,0.116279069767,0.0754716981132,0.516129032258,0.0757575757576,0.4375,0.25,0.166666666667,0.294117647059,0.272727272727,0.424657534247,0.360655737705,0.373134328358,0.169230769231,0.632352941176,0.222222222222,0.347222222222,0.632352941176,0.0,0.338235294118,0.411764705882,0.27868852459,0.0,0.0,0.222222222222,0.044776119403,0.333333333333,0.05,0.594202898551,0.161290322581,0.0,0.694915254237,0.5,0.605633802817,0.0833333333333,0.0,0.0816326530612,0.0952380952381,0.567164179104,0.222222222222,0.420289855072,0.2,0.666666666667,0.25,0.529411764706,0.171428571429,0.290322580645,0.145833333333,0.611111111111,0.151515151515,0.0735294117647,0.107142857143,0.4,0.4375,0.645161290323,0.514285714286,0.75,0.179104477612,0.657142857143,0.177419354839,0.712121212121,0.246376811594,0.746478873239,0.591549295775,0.0,0.183333333333,0.196721311475,0.15625,0.307692307692,0.056338028169,0.703125,0.0612244897959,0.260869565217,0.0,0.0,0.294117647059,0.0,0.1,0.142857142857
TCGA-A5-A0GI,0.304347826087,0.542372881356,0.666666666667,0.188405797101,0.298507462687,1.0,0.0847457627119,0.254901960784,0.102941176471,0.603174603175,1.0,0.439393939394,0.678571428571,0.521739130435,0.548387096774,0.71186440678,0.09375,0.661764705882,0.436363636364,0.0289855072464,0.333333333333,0.666666666667,0.0285714285714,0.0,0.044776119403,0.533333333333,0.245901639344,0.0,0.639344262295,0.625,0.469696969697,0.191176470588,0.265625,0.444444444444,0.55223880597,0.58064516129,0.342105263158,0.0491803278689,0.625,0.59375,0.285714285714,0.19696969697,0.152542372881,0.8,0.0,0.5,0.606060606061,0.0138888888889,0.16393442623,0.0833333333333,0.442857142857,0.269841269841,0.351351351351,0.0,0.027397260274,0.507462686567,0.333333333333,0.0967741935484,0.5,0.622950819672,0.0322580645161,0.41935483871,0.8,0.327586206897,0.686567164179,0.264705882353,0.0169491525424,0.785714285714,0.0769230769231,0.151515151515,0.393442622951,0.0,0.641509433962,0.137931034483,0.290322580645,0.541666666667,0.625,0.622950819672,0.15625,0.5,1.0,0.492307692308,0.597014925373,0.733333333333,0.1,0.6,0.409090909091,0.566037735849,0.619047619048,0.625,0.686567164179,0.473684210526,0.3125,0.5,0.555555555556,0.135593220339,0.623188405797,0.416666666667,0.6,0.354838709677,0.675,0.52,0.593220338983,0.403225806452,0.393442622951,0.736842105263,0.0,0.539682539683,0.359375,0.521126760563,0.0172413793103,0.373134328358,0.338461538462,0.181818181818,0.612903225806,0.492537313433,0.538461538462,0.0153846153846,0.0769230769231,0.380952380952,0.366666666667,0.446808510638,0.013698630137,0.666666666667,0.476923076923,0.5,0.294117647059,0.25,0.642857142857,0.0,0.350877192982,0.8,0.369230769231,0.444444444444,0.0,0.586956521739,0.553571428571,0.089552238806,0.647058823529,0.545454545455,0.626865671642,0.379310344828,0.714285714286,0.0597014925373,0.553846153846,0.448275862069,0.595238095238,0.388059701493,0.5625,0.353846153846,0.51724137931,0.0,0.0161290322581,0.135593220339,0.476923076923,0.2,0.538461538462,0.507462686567,0.642857142857,0.47619047619,0.65671641791,0.220588235294,0.388059701493,0.0327868852459,0.684210526316,0.525423728814,0.45,0.65625,0.507462686567,0.186440677966,0.568181818182,0.294117647059,0.4,0.25,0.515151515152,0.4,0.421875,0.333333333333
TCGA-A5-A0GJ,0.590163934426,0.132075471698,0.1,0.0,0.189655172414,0.0847457627119,1.0,0.163265306122,0.047619047619,0.0943396226415,0.0,0.410714285714,0.122448979592,0.117647058824,0.0,0.06,0.0701754385965,0.0350877192982,0.377777777778,0.338983050847,0.0,0.0,0.147540983607,0.38,0.339285714286,0.162790697674,0.611111111111,0.333333333333,0.0,0.0,0.2,0.0,0.0,0.16,0.228070175439,0.384615384615,0.5,0.4,0.04,0.0,0.0,0.0,0.0566037735849,0.0,0.666666666667,0.0,0.145454545455,0.383333333333,0.0,0.02,0.0,0.259259259259,0.212121212121,0.293103448276,0.333333333333,0.186440677966,0.0,0.0833333333333,0.0,0.0,0.358490566038,0.0961538461538,0.2,0.468085106383,0.0185185185185,0.431034482759,0.388888888889,0.0,0.107142857143,0.111111111111,0.0185185185185,0.156862745098,0.0,0.0192307692308,0.189655172414,0.0227272727273,0.0,0.0188679245283,0.0363636363636,0.0,0.0,0.0169491525424,0.0701754385965,0.0,0.0188679245283,0.2,0.5625,0.116279069767,0.0,0.0,0.0714285714286,0.0,0.0175438596491,0.0,0.125,0.12962962963,0.216666666667,0.0,0.0192307692308,0.549019607843,0.0285714285714,0.0222222222222,0.04,0.0555555555556,0.0377358490566,0.0,0.8,0.321428571429,0.537037037037,0.0169491525424,0.06,0.509090909091,0.509433962264,0.0181818181818,0.0,0.0,0.137931034483,0.351851851852,0.101694915254,0.0350877192982,0.0,0.194444444444,0.354838709677,0.1,0.134615384615,0.0,0.0,0.0,0.0555555555556,0.5,0.346153846154,0.0,0.310344827586,0.0,0.338709677419,0.0731707317073,0.0,0.0526315789474,0.0869565217391,0.0185185185185,0.172413793103,0.142857142857,0.166666666667,0.114754098361,0.413793103448,0.571428571429,0.128205128205,0.0327868852459,0.196428571429,0.137931034483,0.04,0.145454545455,0.107142857143,0.0196078431373,0.0,0.245283018868,0.0,0.189655172414,0.0,0.11320754717,0.0833333333333,0.0508474576271,0.0634920634921,0.442307692308,0.0363636363636,0.326923076923,0.411764705882,0.0,0.166666666667,0.381818181818,0.166666666667,0.625,0.2,0.375,0.410714285714,0.0625,0.120689655172,0.0
TCGA-A5-A0GN,0.0526315789474,0.239130434783,0.206896551724,0.0566037735849,0.037037037037,0.254901960784,0.163265306122,1.0,0.0175438596491,0.448979591837,0.666666666667,0.0545454545455,0.340425531915,0.733333333333,0.58,0.450980392157,0.0,0.314814814815,0.555555555556,0.509803921569,0.875,0.5,0.107142857143,0.46,0.44,0.617647058824,0.0212765957447,1.0,0.351851851852,0.75,0.58,0.0701754385965,0.0754716981132,0.625,0.0701754385965,0.130434782609,0.0333333333333,0.531914893617,0.541666666667,0.480769230769,0.625,0.102040816327,0.0576923076923,0.5,0.25,0.625,0.24,0.389830508475,0.106382978723,0.0434782608696,0.385964912281,0.0,0.666666666667,0.40350877193,0.357142857143,0.637931034483,0.0,0.0204081632653,0.333333333333,0.411764705882,0.452830188679,0.122448979592,0.25,0.0208333333333,0.363636363636,0.0,0.488888888889,0.5,0.0576923076923,0.0,0.0943396226415,0.08,0.326086956522,0.0392156862745,0.0,0.375,0.454545454545,0.450980392157,0.0,0.5,0.2,0.109090909091,0.589285714286,0.266666666667,0.0188679245283,0.75,0.466666666667,0.552631578947,0.59375,0.3125,0.339622641509,0.529411764706,0.0769230769231,1.0,0.642857142857,0.0,0.457627118644,0.321428571429,0.44,0.14,0.413793103448,0.5,0.122448979592,0.611111111111,0.2,0.125,0.0,0.254901960784,0.134615384615,0.216666666667,0.0612244897959,0.0727272727273,0.245283018868,0.0192307692308,0.358490566038,0.218181818182,0.0357142857143,0.418181818182,0.0909090909091,0.173076923077,0.269230769231,0.72972972973,0.456140350877,0.5,0.673076923077,0.666666666667,0.555555555556,0.0185185185185,0.461538461538,0.0,0.0,0.0,0.0,0.65625,0.457627118644,0.605263157895,0.446808510638,0.0175438596491,0.409090909091,0.211538461538,0.403846153846,0.0,0.5,0.0,0.157894736842,0.125,0.351351351351,0.0892857142857,0.5,0.775510204082,0.761904761905,0.0185185185185,0.0185185185185,0.0192307692308,0.0576923076923,0.0,0.454545454545,0.0363636363636,0.44,0.0192307692308,0.4,0.0,0.0363636363636,0.448979591837,0.469387755102,0.4,0.218181818182,0.274509803922,0.636363636364,0.02,0.722222222222,0.150943396226,0.4,0.625,0.235294117647,0.666666666667,0.75,0.75
TCGA-A5-A0GP,0.0289855072464,0.118644067797,0.231884057971,0.710144927536,0.478260869565,0.102941176471,0.047619047619,0.0175438596491,1.0,0.0,0.0,0.0735294117647,0.0,0.0,0.0153846153846,0.016393442623,0.907692307692,0.0882352941176,0.0,0.0,0.0,0.0,0.694444444444,0.031746031746,0.0,0.0,0.015625,0.0,0.0634920634921,0.0,0.0,0.728571428571,0.602941176471,0.0,0.130434782609,0.0,0.0,0.0,0.0322580645161,0.0793650793651,0.0,0.787878787879,0.698412698413,0.0,0.0,0.0,0.0153846153846,0.0845070422535,0.71186440678,0.892857142857,0.289473684211,0.393939393939,0.0,0.0694444444444,0.175675675676,0.0,0.0,0.806451612903,0.0,0.0806451612903,0.0,0.333333333333,0.0,0.169491525424,0.0735294117647,0.260869565217,0.0,0.0,0.865671641791,0.815384615385,0.453125,0.692307692308,0.111111111111,0.783333333333,0.475409836066,0.0,0.0526315789474,0.015625,0.865671641791,0.0,0.0,0.328571428571,0.0422535211268,0.0,0.952380952381,0.166666666667,0.0,0.0,0.0227272727273,0.0,0.0147058823529,0.0,0.642857142857,0.0,0.0,0.65,0.0422535211268,0.337837837838,0.016393442623,0.0,0.0,0.0185185185185,0.213114754098,0.09375,0.44776119403,0.0,0.0,0.0,0.0,0.305555555556,0.915254237288,0.0454545454545,0.0,0.705882352941,0.0806451612903,0.257142857143,0.264705882353,0.0461538461538,0.863636363636,0.492753623188,0.406779661017,0.0,0.0281690140845,0.0,0.0,0.0,0.0526315789474,0.69696969697,0.0,0.0,0.193548387097,0.0,0.220588235294,0.0,0.0285714285714,0.0,0.0172413793103,0.897058823529,0.0192307692308,0.242424242424,0.0,0.543859649123,0.0,0.823529411765,0.0142857142857,0.0,0.0,0.56338028169,0.030303030303,0.0,0.0,0.859375,0.89552238806,0.822580645161,0.338461538462,0.507936507937,0.101449275362,0.2,0.015873015873,0.313432835821,0.132352941176,0.714285714286,0.450704225352,0.0333333333333,0.03125,0.0,0.0,0.138461538462,0.0,0.338709677419,0.0,0.030303030303,0.0,0.0,0.0,0.05,0.0,0.0
TCGA-A5-A0GQ,0.16393442623,0.519230769231,0.569230769231,0.166666666667,0.172413793103,0.603174603175,0.0943396226415,0.448979591837,0.0,1.0,1.0,0.290322580645,0.86,0.842105263158,0.709677419355,0.865384615385,0.0,0.716666666667,0.480769230769,0.101694915254,0.444444444444,1.0,0.0,0.0701754385965,0.152542372881,0.567567567568,0.120689655172,0.571428571429,0.735849056604,1.0,0.64406779661,0.1875,0.25,0.534482758621,0.327868852459,0.4,0.222222222222,0.178571428571,0.8,0.64406779661,0.666666666667,0.101694915254,0.0545454545455,1.0,0.5,0.727272727273,0.559322033898,0.0625,0.160714285714,0.0408163265306,0.46875,0.135593220339,0.485714285714,0.046875,0.0298507462687,0.587301587302,1.0,0.0377358490566,0.428571428571,0.714285714286,0.0655737704918,0.303571428571,0.75,0.163265306122,0.7,0.112903225806,0.0892857142857,0.785714285714,0.0,0.0508474576271,0.314814814815,0.0,0.68,0.166666666667,0.145454545455,0.829787234043,0.833333333333,0.745454545455,0.0166666666667,0.75,1.0,0.413793103448,0.655737704918,1.0,0.0357142857143,0.4,0.555555555556,0.78,0.756756756757,0.764705882353,0.790322580645,0.684210526316,0.186440677966,0.8,0.619047619048,0.111111111111,0.6875,0.4375,0.816666666667,0.290909090909,0.911764705882,0.744680851064,0.491228070175,0.586206896552,0.368421052632,0.882352941176,0.25,0.55,0.241379310345,0.446153846154,0.0,0.220338983051,0.372881355932,0.120689655172,0.678571428571,0.491525423729,0.403225806452,0.0847457627119,0.0,0.333333333333,0.40350877193,0.581395348837,0.078125,0.857142857143,0.625,0.75,0.4,0.196721311475,0.69387755102,0.5,0.22641509434,1.0,0.203389830508,0.638888888889,0.0793650793651,0.804347826087,0.846153846154,0.0,0.666666666667,0.566666666667,0.655737704918,0.132075471698,0.6,0.0,0.564516129032,0.206896551724,0.829268292683,0.266666666667,0.629032258065,0.590163934426,0.541666666667,0.0,0.0,0.0357142857143,0.446428571429,0.0701754385965,0.593220338983,0.290322580645,0.857142857143,0.206896551724,0.606557377049,0.103448275862,0.283333333333,0.0545454545455,0.818181818182,0.454545454545,0.375,0.655172413793,0.655737704918,0.105263157895,0.690476190476,0.238095238095,0.5,0.416666666667,0.416666666667,0.590909090909,0.603448275862,0.5
